"序號","統一編號","公司名稱","公司所在地","代表人","資本額","核准設立日期"
"1","29183176","亞洲巴萊斯股份有限公司","臺中市大雅區科雅路42號5樓","James Scott Anderson","10000000","1060126"
"2","29186976","裕豐永業有限公司","高雄市楠梓區中三街6號301室","陳珍妮","1000000","1060209"
"3","42464001","台灣速力貳能源股份有限公司","臺北市信義區忠孝東路5段68號20樓","梁盛宇","2000000","1060208"
"4","51317234","薩摩亞商普樂宜有限公司","臺中市西屯區上安路84巷5號地下1樓之5","郭銘昇","15000000","1060126"
"5","51317966","英屬維京群島商維京味全有限公司","臺北市中山區松江路125號10樓","蘇守斌","100000","1060126"
"6","51318064","香港商阿爾伊股份有限公司","新北市板橋區富貴里三民路2段37號27樓之3","王克萍","500000","1060206"
"7","51318135","香港商中電長城臺北研發中心有限公司","桃園市蘆竹區經國路890號4樓","馬奇","0","1060206"
"8","51318607","英屬維京群島商唯耀投資控股興業有限公司","臺北市萬華區和平西路3段155號7樓","楊狄清","500000","1060208"
"9","51318938","香港商勝維國際有限公司","新北市林口區文化二路1段266號17樓之3","顏志聰","10000000","1060213"
"10","51319232","香港商酷比客國際有限公司","臺北市中山區新生北路3段26號8樓之14","黃聖哲","1000000","1060213"
"11","51319275","薩摩亞商奧沛有限公司","屏東縣屏東市博愛路292號","許恒男","15000000","1060210"
"12","51319774","英屬維京群島商宇博先進股份有限公司","新北市中和區中山路2段296號6樓之5","王博文","27000000","1060213"
"13","51320110","約旦商台灣經典時尚實業有限公司","新北市土城區中央路4段2號2樓之2","Sripathy  Kousik  Gangavarapu","500000","1060217"
"14","51320884","美商億業有限公司","臺北市信義區信義路4段415號12樓","李虹鳴","1500000","1060218"
"15","51320890","英屬安吉拉商龍玉實業股份有限公司","臺北市中山區八德路2段60號6樓之1","李姵緹","500000","1060217"
"16","51321048","巴林商佳殿控股有限公司","臺北市松山區敦化北路214號7樓","古桑杰","0","1060220"
"17","51321321","塞席爾商聖銘國際通路顧問股份有限公司","臺北市中正區八德路1段23號11樓之1","鐘仁遠","6000000","1060223"
"18","51321363","日商祝朋國際股份有限公司","臺北市中山區南京東路2段137號14樓","上岡淑郎","1000000","1060224"
"19","51321589","薩摩亞商倍盛新業股份有限公司","新北市三峽區添福里添福59-3號","陳永東","3000000","1060222"
"20","51321743","香港商希瑞科技股份有限公司","新竹縣竹北市台元街36號4樓之7","苟嘉章","3000000","1060223"
"21","52554109","群鑫服務事業有限公司","臺北市中山區新生北路1段48號8樓","黃世景","2000000","1060126"
"22","52554348","鴻隆有限公司","臺北市大安區忠孝東路四段329號8樓","陳玉慧","1000000","1060126"
"23","52554369","寶來興國際棉業有限公司","臺北市中正區和平西路二段141號3樓之4","簡宜君","10000000","1060126"
"24","52554500","社群洞察有限公司","臺北市文山區興隆路二段228之1號2樓","吳正偉","100000","1060126"
"25","52554678","辰曦有限公司","臺北市萬華區寶興街71號","劉宗惠","200000","1060126"
"26","52554683","英納盛科技有限公司","臺北市大安區信義路4段168號5樓","白佳穎","300000","1060126"
"27","52554699","澄洋國際有限公司","臺北市文山區景興路10巷2號5樓之2","陳嬿婷","150000","1060126"
"28","52554810","深態潛水器材有限公司","臺北市中正區師大路164號","陳育生","200000","1060126"
"29","52554939","樂活社會企業股份有限公司","臺北市大安區敦化南路一段225號地下1樓","馬瑞辰","5000000","1060126"
"30","52554950","富翊國際有限公司","臺北市北投區知行路198號1樓","吳郁姍","300000","1060126"
"31","52555016","眾議科技股份有限公司","臺北市松山區南京東路4段1號11樓","張晏誠","80000","1060202"
"32","52555276","唐圖綠能科技股份有限公司","臺北市中山區南京東路1段52號4樓","葉振富","2000000","1060126"
"33","52555389","光明之路國際整合傳播有限公司","臺北市松山區民生東路四段131巷1號3樓","陳太陽","2000000","1060126"
"34","52555472","玄張有限公司","臺北市內湖區新明路625號","張富鈞","23936000","1060202"
"35","52555846","法朵國際顧問有限公司","臺北市大安區基隆路2段190號10樓之3","呂姵儀","1000000","1060203"
"36","52555888","三十日有限公司","臺北市信義區基隆路二段13號3樓之2","楊正旭","500000","1060126"
