"序號","統一編號","公司名稱","公司所在地","代表人","資本額","核准設立日期"
"1","00000238","傑丞門業有限公司","新竹市北區大同里中正路107號9樓之3","曾雅芳","6000000","1130920"
"2","00000309","科學怪人有限公司","臺北市信義區基隆路1段143號3樓之3","李靖黌","100000","1130919"
"3","00000808","亦沁室內裝修設計有限公司","新竹縣竹北市鹿場里自強七街33號五樓","張珮靖","1000000","1130918"
"4","00000835","致善豐格不動產經紀有限公司","桃園市桃園區青溪里青溪二路1號、3號","王國睿","3000000","1130910"
"5","00000933","玖柒數位有限公司","臺中市龍井區龍泉里南社路二段45號","廖乃慧","1500000","1130906"
"6","00000981","安宜有限公司","臺北市大安區敦化南路2段128號5樓之6","高文宜","500000","1130926"
"7","00001052","揚弘金融科技有限公司","臺北市大安區敦化南路1段205號2樓之5","楊翰穎","16800000","1130926"
"8","00001172","世馨生技有限公司","高雄市三民區遼寧三街109號15樓","黃舒靖","1000000","1130919"
"9","00001216","信實行銷股份有限公司","臺北市信義區基隆路1段400號6樓","林克謨","3000000","1130927"
"10","00001308","譯鈞萊投資有限公司","新北市泰山區楓江路133號2樓","陳維升","6000000","1130905"
"11","00001709","納渼優化循環有限公司","高雄市鳳山區林森路185巷7號1樓","吳知橙","5000000","1130916"
"12","00001911","女鵝團貿易有限公司","臺南市永康區東灣里民族路273巷23弄23號2樓","鄭舒芸","200000","1130920"
"13","00001969","富立好有限公司","臺中市南區五權南路167號地下一層之6","黃士溢","500000","1130909"
"14","00002003","翰雨股份有限公司","高雄市岡山區育才路17號1樓","陳信銘","2000000","1130910"
"15","00002067","千富地產經紀有限公司","基隆市仁愛區仁一路257之5號","李珈羽","1000000","1130924"
"16","00002094","星霖空調工程有限公司","臺中市北屯區三光里北屯路200巷1號2樓","劉盈礽","100000","1130919"
"17","00002159","可比嘉有限公司","高雄市三民區民族一路80號15樓之1","邱品嘉","500000","1130910"
"18","00002221","星円有限公司","臺北市內湖區石潭路27號7樓之2","曹馨云","4400000","1130902"
"19","00002284","志蓉工程有限公司","新北市新店區安泰路60巷55弄144號","朱志剛","50000","1130923"
"20","00002290","銨旭精密研發股份有限公司","苗栗縣頭份市合興里復興街62號1樓","周神安","1000000","1130924"
"21","00002340","香港商台古貿易股份有限公司","臺南市仁德區全福路80巷14弄13號","費利帕","0","1130911"
"22","00002502","又大動力國際開發股份有限公司","臺北市大安區敦化南路1段205號2樓之5","金智輝","1500000","1130903"
"23","00002539","進家源有限公司","臺中市霧峰區坑口里新生路366號","蒲銘毅","1000000","1130905"
"24","00002616","破店大排檔有限公司","臺中市西區向上路一段247號","TUNG KIE TJHAI","500000","1130909"
"25","00002812","國展工程有限公司","臺南市安南區頂安里長溪路1段341巷6弄26號1樓","黃逸歆","490000","1130919"
"26","00002897","仲于生醫有限公司","苗栗縣竹南鎮環市路三段228號三樓","劉張全","500000","1130927"
"27","00002910","三裕開發股份有限公司","高雄市前金區光復一街4巷16號1樓","陳明輝","600000","1130926"
"28","00002947","豈綺有限公司","高雄市鳳山區新強路122號","劉宗鈞","500000","1130902"
"29","00003002","好瓏生技有限公司","臺南市安南區樂安一街129號1樓","曾池卉","200000","1130927"
