"序號","統一編號","公司名稱","公司所在地","代表人","資本額","核准設立日期"
"1","29187813","台灣特宏光電股份有限公司","臺中市大里區東湖里科技路3號12樓之5","楊春城","5000000","1090706"
"2","29187829","漢波科技股份有限公司","高雄市前鎮區復興四路2號3樓之3","李健榮","1000000","1090713"
"3","83060670","後山匯有限公司","臺東縣臺東市豐田里祥和路83巷8號","張凱威","500000","1090721"
"4","83060685","烈新建設有限公司","金門縣金寧鄉湖埔村環島西路二段90巷2弄30號","洪烱燦","3000000","1090721"
"5","83060714","靖晧科技有限公司","新竹縣芎林鄉富林路1段582巷5號1樓","劉靖綸","1000000","1090721"
"6","83060720","紘馳國際有限公司","新竹縣湖口鄉德盛村25鄰新湖路322號1樓","甘紘嶂","500000","1090721"
"7","83060735","美美子有限公司","宜蘭縣羅東鎮維揚路245巷1號1樓","林怡安","3000000","1090721"
"8","83060741","斯迪麥文化傳媒股份有限公司","宜蘭縣宜蘭市新東里校舍一路103巷9號五樓","鄭絜心","300000","1090721"
"9","83060756","曌室內設計有限公司","苗栗縣公館鄉福星村福星14-2號1樓","吳妃玉","250000","1090721"
"10","83060762","兆柏創新實業有限公司","彰化縣二林鎮東和里斗苑路五段272號","洪睿生","10000000","1090721"
"11","83060778","特高鑽石工具股份有限公司","花蓮縣花蓮市美工路7號","李哲男","6370000","1090721"
"12","83060783","了了生活股份有限公司","宜蘭縣礁溪鄉大忠村大忠路165號10樓之1","洪美芳","29000000","1090721"
"13","83060799","禾甜有限公司","彰化縣彰化市福安里曉陽路49號","李旻修","2000000","1090721"
"14","83060806","元飲有限公司","彰化縣員林市仁美里靜修路36號","陳文欽","1400000","1090721"
"15","83060812","麥馳實業有限公司","雲林縣麥寮鄉橋頭村仁德路156巷3-1號1樓","蔡進寶","500000","1090721"
"16","83060828","四季娛樂事業有限公司","新竹市東區民生路192號3樓之2","黎偉琳","100000","1090721"
"17","83060833","東喬勝建設有限公司","宜蘭縣五結鄉三興東路29號1樓","李柏羲","1000000","1090721"
"18","83060849","木希企業有限公司","花蓮縣花蓮市主信里南京街203-2號1樓","林雨珍","200000","1090721"
"19","83060854","盛特黎投資有限公司","彰化縣鹿港鎮泰興里民族路131號1樓","許博盛","200000","1090721"
"20","83060860","鑫裕營造有限公司","新竹市中華路三段9號8樓之5","劉沛語","3600000","1090721"
"21","83060876","全億塑膠有限公司","彰化縣鹿港鎮溝墘里棋盤巷81號","莊旻璋","500000","1090721"
"22","83060881","台灣高盛國際物業顧問有限公司","新竹市東區自由路111號7樓之1","陳志榕","500000","1090721"
"23","83060897","文盈環保科技有限公司","屏東縣佳冬鄉玉光村中華路280巷78號1樓","王文華","10000","1090721"
"24","83060910","韓國連線美鞋有限公司","雲林縣東勢鄉新坤村新吉路5之3號","林東億","1000000","1090721"
"25","83060926","眉角國際有限公司","基隆市仁愛區仁二路220號1樓，2樓","許媁棠","3199000","1090721"
"26","83060931","富瑤事業有限公司","基隆市信義區孝深里深澳坑路168巷50弄24號2樓","蘇秋香","200000","1090722"
"27","83060947","祥鼎餐飲事業股份有限公司","基隆市暖暖區暖暖街379巷121號2樓","黃金蓮","6000000","1090722"
"28","83060968","台灣精饌行銷顧問有限公司","嘉義縣民雄鄉山中村牛斗山667號1樓","陳永中","600000","1090722"
"29","83060974","億錸農業有限公司","嘉義縣太保市過溝里過溝45-163號1樓","黃德仁","1000000","1090722"
"30","83060989","聯詠服飾有限公司","宜蘭縣羅東鎮純精路一段57號","曾葉河","200000","1090722"
