"序號","統一編號","公司名稱","公司所在地","代表人","資本額","核准設立日期"
"1","50966772","華都室內設計工程有限公司","桃園市桃園區光興里中原路24號(2樓)","楊彩儀","300000","1081031"
"2","50966787","程豫資產管理有限公司","桃園市平鎮區金星里大連街138巷1號(1樓)","羅一翔","200000","1081031"
"3","50966800","王牌追蹤企業有限公司","桃園市龜山區萬壽路二段723之2號5樓之5","劉獻方","200000","1081031"
"4","50966816","廣盈利有限公司","桃園市中壢區龍東里龍東路255巷189弄9號(1樓)","許元駿","200000","1081031"
"5","50966822","悅祥國際有限公司","桃園市中壢區青溪路一段383號","蔡國輝","10000000","1081031"
"6","50966908","台灣海固電器系統有限公司","桃園市楊梅區中山里環東路493號（2樓）","陳文和","300000","1081031"
"7","50966914","中中串室內裝修有限公司","桃園市中壢區龍興里10鄰龍岡路三段141號","呂家妘","500000","1081101"
"8","50966920","星予科技有限公司","桃園市桃園區永安里力行路7號7樓之2","劉娘妹","300000","1081101"
"9","50966935","臣鋒消防工程有限公司","桃園市蘆竹區蘆竹里18鄰蘆興街102號","楊綉絹","1000000","1081104"
"10","50966941","百代國際股份有限公司","桃園市桃園區大誠路2號","侯震育","5000000","1081101"
"11","50966956","村伊麗貿易有限公司","桃園市中壢區復興里長樂街83巷8之2號","陳麗萍","2000000","1081101"
"12","54917134","丹麥商風鐸有限公司","臺中市南屯區文心路1段186號4樓之9","Henrik Brink","5000000","1081114"
"13","54917205","塞席爾商陞祥貿易有限公司","高雄市前鎮區漁港東二路3號","許聰文","0","1081121"
"14","54917269","日商至峰堂画廊股份有限公司","臺北市信義區松智路1號11樓","鈴木庸平","0","1081031"
"15","54917373","美商鏈通科技股份有限公司","臺北市大安區仁愛路3段123巷26弄8號1樓","陳思維","0","1081126"
"16","54917394","大陸商深圳市瑞邦智能裝備科技有限公司","新北市中和區橋和路115號1樓","陳天華","0","1081104"
"17","54917520","塞席爾商冠軍國際有限公司","臺北市松山區光復北路95號3樓","CHAU  ZIP  PING","0","1081112"
"18","54917541","香港商太平洋數位內容顧問有限公司","臺北市中山區中山北路2段102號11樓之5","渡邊 正吾","0","1081101"
"19","54917556","德商德光科技股份有限公司","臺北市信義區基隆路1段141號10樓","范靈頓","0","1081112"
"20","54917562","德商艾默格法蘭肯有限公司","臺中市東區建德街233號","Thomas  Dieter  Pompe","0","1081104"
