"序號","統一編號","公司名稱","公司所在地","代表人","資本額","核准設立日期"
"1","28114790","奧鵬科技股份有限公司","新竹市東區工業東二路2-3號3樓","李晨帆","30000","1090805"
"2","28114807","雅億創新股份有限公司","新竹市東區工業東二路2-3號3樓","李雋睿","16000","1090810"
"3","28114813","艾格生科技股份有限公司","苗栗縣竹南鎮科北一路21號1樓","李鎮宇","100000000","1090820"
"4","29183289","威浦斯科技股份有限公司","臺中市大雅區科雅路6號","王雪慧","500000","1090825"
"5","29187840","瀚興船舶管理顧問有限公司","高雄市前鎮區復興四路12號3樓之7","盧酉林","1000000","1090831"
"6","83060138","艾倫室內設計有限公司","新北市三重區仁興街31巷1號(1樓)","蔡嘉鴻","500000","1090811"
"7","83060144","樂彤有限公司","新北市永和區仁愛路39號(1樓)","葉佩儀","6000000","1090811"
"8","83060159","台茂西林股份有限公司","新北市林口區仁愛路2段502號5樓","林百昌","3000000","1090812"
"9","83060165","在台灣生產有限公司","新北市三重區碧華街294巷5號(1樓)","林新展","100000","1090811"
"10","83060171","源鈦精密工業股份有限公司","新北市中和區中正路716號10樓之1","王熙仁","1000000","1090812"
"11","83060186","安達石藝有限公司","新北市板橋區長江路1段46號","林靜慧","1000000","1090812"
"12","83060192","悅峰有限公司","新北市新店區中央路31號3樓","趙品婕","300000","1090812"
"13","83060215","睿德網路資訊有限公司","新北市土城區延吉街210號7樓","何明仁","100000","1090812"
"14","83060221","顛覆未來科技有限公司","新北市板橋區重慶路60之1號3樓","陳柏勳","1000000","1090812"
"15","83060236","和發雜糧號有限公司","新北市五股區新五路3段13號14樓","林忠興","1000000","1090812"
"16","83060242","福多雜糧號有限公司","新北市五股區新五路3段15號14樓","林忠樂","1000000","1090812"
"17","83060257","吉亨國際汽車有限公司","新北市新莊區榮華路1段2號","陳志麟","5000000","1090812"
"18","83060263","公和不動產仲介經紀有限公司","新北市中和區中和路140號","林咏渝","2000000","1090812"
"19","83060279","力萬建設有限公司","新北市三重區永福街172號2樓","盧火金","12000000","1090812"
"20","83060284","堯鑫盛國際開發有限公司","新北市板橋區四川路1段23號11樓之1","陳淑芬","1000000","1090812"
"21","83060290","凱文車業有限公司","新北市新莊區思源路177巷5弄22號4樓","林茂凱","1000000","1090812"
"22","83060307","廣鴻冷氣工程有限公司","新北市板橋區民治街57巷24弄4號2樓","林榮國","200000","1090812"
"23","83060313","躍動健身運動有限公司","新北市蘆洲區長樂路225號","蘇中行","2000000","1090812"
"24","83060329","柔伊管理顧問有限公司","新北市汐止區樟樹一路141巷11號5樓","黃瑋柔","100000","1090812"
"25","83060334","森旭國際有限公司","新北市蘆洲區集賢路224巷16號3樓","方怡文","100000","1090812"
"26","83060340","繁根國際有限公司","新北市土城區中央路四段60之5號","黃軒","2000000","1090812"
"27","83060355","言俞美學創意有限公司","新北市淡水區八勢路1段208號10樓","游乃諭","400000","1090812"
"28","83060361","大火創意有限公司","新北市新店區建國路291巷7號4樓","蔡立雋","1000000","1090812"
"29","83060377","柒樓室內裝修工程有限公司","新北市三重區自由街27巷2號7樓","許鈞凱","1000000","1090812"
