"序號","統一編號","公司名稱","公司所在地","代表人","資本額","核准設立日期"
"1","29183181","台灣骨王生技股份有限公司","臺中市大雅區中科路6號6樓之6","李佩淵","13250000","1060331"
"2","29183197","鼎赫生物科技股份有限公司","臺中市西屯區科園路26號2樓","陳味淑珍","30000000","1060405"
"3","42407537","台灣速力太陽能源股份有限公司","臺北市信義區忠孝東路5段68號20樓","陳必揚(Tan Bi Yang Gavin)","13600000","1060426"
"4","51337800","瑞鶴投資股份有限公司","臺北市松山區南京東路4段164號6樓","林怡璇","1200000000","1060418"
"5","52629397","宅富有限公司","臺北市中山區長春路318號2樓","鄭昭宏","999999","1060331"
"6","52629404","福本車輛產業有限公司","臺北市信義區光復南路505號12樓之4","福本好博 FUKUMOTO YOSHIHIRO","1000000","1060331"
"7","52629468","十山有限公司","臺北市士林區天母西路3號6樓之22","傅霆 (BLOEMEKE TIM HENDRIK)","500000","1060331"
"8","52629474","維諾股份有限公司","臺北市內湖區內湖路1段516號6樓","詹東峻","500000","1060331"
"9","52629538","好的優國際有限公司","臺北市文山區秀明路1段92號1樓","楊哲熙","500000","1060331"
"10","52629740","富洋興業有限公司","臺北市中山區南京東路2段150號10樓","葉畇青","2000000","1060331"
"11","52629827","美吉爾有限公司","臺北市內湖區民權東路6段175號","石守志","1500000","1060331"
"12","52629973","孫悟空有限公司","臺北市中山區松江路97巷5號1樓","陳敬文","600000","1060405"
"13","52630079","台灣農業數據服務股份有限公司","臺北市內湖區行善路56號2樓之3","陳人儀","600000","1060331"
"14","52630113","策略思維顧問有限公司","臺北市中山區松江路65號6樓","孫治華","200000","1060405"
"15","52630198","相信創意廣告有限公司","臺北市中正區中山北路1段2號4樓之3","張祐誠","500000","1060331"
"16","52630253","智舜投資股份有限公司","臺北市中正區中華路1段59號3樓之8","王冠智","1000000","1060331"
"17","52630346","巨升食品有限公司","臺北市南港區忠孝東路6段225巷4弄8號1樓 ","張廷章","1000000","1060331"
"18","52630423","亞境國際有限公司","臺北市信義區忠孝東路5段482號14樓之4","呂人靜","100000","1060331"
"19","52630471","鑫翔盛國際有限公司","臺北市大安區忠孝東路4段319號9樓","何元緒","500000","1060331"
"20","52630508","其奕投資股份有限公司","臺北市信義區信義路5段150巷2號14樓","吳其城","10000000","1060331"
"21","52630535","大麥國際股份有限公司","臺北市中山區民權西路20號9樓之2","鄭逢章","600000","1060331"
"22","52630606","盛裕國際物流股份有限公司","臺北市中山區南京東路2段137號8樓","林宗祥","10000000","1060331"
"23","52630774","御鑒資產管理有限公司","臺北市中山區松江路504巷3號","陳明勳","100000","1060331"
"24","52630845","晉相國際物流有限公司","臺北市大安區信義路4段309號3樓","何兆欽","7500000","1060406"
"25","52630850","日洋有限公司","臺北市大安區信義路2段72號地下","李今洋","400000","1060331"
"26","52631014","炫柏國際企業有限公司","臺北市中正區重慶南路1段49號7樓之2","陳瑞雲","2000000","1060331"
"27","52631020","廣大成實業有限公司","臺北市中山區林森北路492號","陳重仔","500000","1060331"
"28","52631041","嘉驊人力派遣有限公司","臺北市萬華區國興路84號6樓之1","張恭嘉","200000","1060405"
"29","52631062","台灣力德信息科技有限公司","臺北市大安區忠孝東路4段148號9樓之1","吳文杰(Goh Boon Kiat Elmer)","1000000","1060331"
"30","52631078","精靈村莊創意國度有限公司","臺北市松山區南京東路5段223號15樓","方文山","2000000","1060331"
"31","52631083","卡祖歐有限公司","臺北市信義區福德街268巷30弄5號","蘇義傑","500000","1060331"
"32","52631106","合駅工程有限公司","臺北市信義區基隆路1段155號13樓之6","黃志華","100000","1060331"
"33","52631112","歐鎷印刷設計有限公司","臺北市中山區中山北路2段62巷36號","徐偉鈞","500000","1060405"
"34","52631160","采林資訊有限公司","臺北市大安區和平東路2段181號2樓","楊素琴","250000","1060331"
"35","52631289","三合通有限公司","臺北市中山區南京東路2段50號3樓","林玉琴","5000000","1060405"
"36","52631339","長江紡織股份有限公司","臺北市南港區玉成街81號2樓","黃柏齡","3000000","1060405"
"37","52631393","聯壹台塑牛排有限公司","臺北市松山區南京東路4段186號2樓","楊國初","100000","1060405"
"38","52631400","加玖投資有限公司","臺北市北投區中央北路4段515巷76號7樓","潘勝利","36000000","1060405"
"39","52631464","今陽工程有限公司","臺北市大安區忠孝東路4段209號12樓","張宸瑜","1500000","1060405"
"40","52631648","奇蹟枕頭科技有限公司","臺北市大安區安和路2段211號5樓之1","王博仕","500000","1060405"
"41","52631675","唐柏國際有限公司","臺北市大安區忠孝東路4段112號5樓之10","吳坤倫","1000000","1060405"
"42","52631725","奕創國際醫療櫃體整合設計有限公司","臺北市大安區建國南路1段304巷19號1樓","李軍漢","7000000","1060405"
"43","52631823","騰海有限公司","臺北市大安區安和路1段65號地下室","黃修","500000","1060405"
"44","52631871","財田汽車材料有限公司","臺北市士林區延平北路5段163巷50號5樓","蘇進財","100000","1060405"
"45","52631942","創四七科技有限公司","臺北市內湖區新明路237號5樓","楊登傑","1100000","1060405"
"46","52631957","啓弘國際投資有限公司","臺北市松山區復興北路1號14樓","黃穎煌","99680000","1060317"
"47","52631990","有晴有限公司","臺北市松山區南京東路5段40號11樓之4","徐嘉嬬","1000000","1060405"
"48","52632007","東旅小客車租賃股份有限公司","臺北市中山區中山北路2段60號11樓","楊秀和","30000000","1060405"
"49","52632013","建呈有限公司","臺北市內湖區內湖路1段120巷13號4樓","蘇建旭","5000000","1060405"
"50","52632040","太陽沙發有限公司","臺北市士林區文昌路246號1樓","蔡文結","200000","1060406"
"51","52632055","庫魯國際有限公司","臺北市大同區重慶北路1段22號2樓之17","邱福源","2000000","1060405"
