"序號","統一編號","公司名稱","公司所在地","代表人","資本額","核准設立日期"
"1","28115524","康誠生醫股份有限公司","新竹縣竹北市生醫路二段130號5樓","邱瑞章","4925207","1130715"
"2","29188756","肯笛絲生醫股份有限公司","高雄市前鎮區南一路1號","韓開程","9000000","1130719"
"3","82970068","綠勢力有限公司","臺南市新市區豐華里南科二路12號R305A室","邱莞茹","1100000","1130701"
"4","95425793","恆大創新工程有限公司","高雄市苓雅區正義路62號","呂秀玲","2000000","1130708"
"5","95425843","馬來西亞商歐紛泰化工有限公司","新北市新莊區建安里建國一路302號8樓","Frédéric Pierre Etienne DEHON","230000","1130708"
"6","95425864","豐鉐建設股份有限公司","臺北市信義區松隆路102號8樓","黃韋凱","150000","1130715"
"7","95425870","大盛銓興業有限公司","新北市永和區永貞路79號","謝易翰","600000","1130703"
"8","95426049","利揚機械有限公司","臺中市西屯區至善里逢甲路225巷21號","龔杏如","1000000","1130718"
"9","95426054","穆悅科技有限公司","新竹市東區三民里民族路127巷7號1樓","陳宥福","50000","1130718"
"10","95426168","正向環保有限公司","臺中市西區民龍里臺灣大道二段300號9樓之3","吳岳峰","2000000","1130708"
"11","95426218","仲騰國際投資有限公司","新北市板橋區民生路1段7號14樓之1","王仲恩","200000","1130726"
"12","95426343","昌盛國際生物開發股份有限公司","高雄市三民區博愛一路366號9樓之4","王燉煌","1000000","1130709"
"13","95426408","新鼎饌有限公司","屏東縣潮州鎮新榮里昌明路100-1號1樓","林茗樺","5000000","1130626"
"14","95426483","華夏半導體技術顧問有限公司","臺北市大安區信義路4段210號11樓","楊淑萍","300000","1130717"
"15","95426548","陽程車業有限公司","高雄市大寮區鳳林三路46之1號1樓","林佳錡","1000000","1130729"
"16","95426580","陳耀東管理顧問有限公司","臺中市北區賴興里梅川西路四段228號1樓","曾蜀芬","1000000","1130708"
"17","95426723","絕對紅有限公司","臺北市大安區忠孝東路4段107號5樓之3","張心瀚","4810000","1130731"
"18","95426759","晶漾漾有限公司","臺南市安平區億載里16鄰平豐路75號1樓","葉慧黠","500000","1130722"
"19","95426786","客禮納國際有限公司","臺中市西區大忠里忠明南路270號7樓之1","吳誠","3000000","1130704"
"20","95426857","永豐盛旅行社有限公司","臺中市沙鹿區竹林里福田北街297號1樓","周姵薰","6000000","1130701"
"21","95426884","伍育實業有限公司","嘉義縣中埔鄉和興村中華路243號1樓","張智淜","500000","1130717"
"22","95426977","佶利德有限公司","新北市三重區重新路5段509號17樓","許瀚鐘","100000","1130731"
"23","95427069","亞洲購有限公司","新北市新莊區思源路192巷25號11樓","嚴敏瑜","50000","1130715"
"24","95427119","漢鉮金屬有限公司","彰化縣芳苑鄉信義村芳新路芳苑段123號1樓","吳政諺","200000","1130723"
"25","95427188","彰泰空壓機有限公司","彰化縣彰化市阿夷里金馬路一段631號","鐘英銓","500000","1130723"
"26","95427201","建昇船舶有限公司","雲林縣斗六市鎮西里安和街49號2樓","陳建廷","1000000","1130711"
"27","95427217","苒策管理顧問股份有限公司","臺北市內湖區行善路397號4樓之2","邱素梅","1000000","1130702"
"28","95427336","雅湛股份有限公司","臺北市中山區民權東路3段10號8樓之1","洪芝晨","20000000","1130711"
"29","95427595","風林休閒股份有限公司","雲林縣斗六市信義里大同路23號5樓","林義風","8000000","1130719"
"30","95427618","新加坡商瑞優有限公司","臺北市中山區松江路122號11樓","ONG GEOK HONG","0","1130718"
"31","95427645","晨星影視股份有限公司","臺北市大安區仁愛路4段25之1號12樓","朱奔野","10000000","1130705"
"32","95427672","滴積托方基有限公司","臺北市信義區松德路159號8樓之2","洪瑞晟","100000","1130712"
"33","95427687","聖領國際企業有限公司","臺北市中山區長安東路2段178號4樓之5","周佳怡","300000","1130702"
"34","95427785","澄富興業有限公司","桃園市桃園區同德里中正路1071號6樓之5","陳宜孟","100000","1130723"
"35","95427862","霖霄投資股份有限公司","臺北市內湖區瑞光路258巷56號4樓","於有慶","10100000","1130715"
"36","95427906","聖帝投資股份有限公司","桃園市中壢區普強里大勇四街6巷5號","寇旻龍","200000","1130701"
"37","95427928","維閎投資有限公司","桃園市桃園區瑞慶里寶慶路552號","鄒維玲","1000000","1130708"
"38","95427954","弘正投資股份有限公司","宜蘭縣羅東鎮光榮路491號12樓之2","林煒正","5000000","1130723"
"39","95428052","智聖國際有限公司","臺中市南區工學里文心南路888號3樓之8","黃義泰","100000","1130717"
"40","95428068","亞昇股份有限公司","臺北市松山區敦化北路207號7樓之1","BETTY CHEN PEI LIANG","23000000","1130704"
"41","95428074","帝嘉國際貿易有限公司","南投縣南投市營南里中華路50號1樓","鄭銘緯","600000","1130710"
"42","95428089","采峯投資有限公司","新竹縣竹北市自強南路8號12樓之1","古珍美","1000000","1130701"
"43","95428095","金門龍標酒業有限公司","新北市中和區中山路2段296號9樓之7","王巍光","100000","1130717"
"44","95428118","豐愛健康事業有限公司","臺中市大里區新里里國光路二段259號4樓之3","吳淑榕","1000000","1130709"
"45","95428399","月來月好食酒有限公司","臺北市大安區大安路1段51巷21號","楊淳茹","7500000","1130731"
"46","95428476","蒔成有限公司","臺北市中山區松江路293之705號","翁靖婷","1500000","1130703"
"47","95428503","創奇生醫股份有限公司","新北市土城區自強街7號3樓","徐婉晟","500000","1130703"
"48","95428588","凱文建設有限公司","新竹市北區西雅里北大路468號1樓","陳冠銓","1000000","1130705"
"49","95428617","芳草投資有限公司","臺北市大同區延平北路2段124號4樓","施家福","90415830","1130715"
"50","95428623","克克奇有限公司","臺北市信義區基隆路1段163號14樓之1","PARK JIHEE","200000","1130723"
"51","95428671","逸昇豐數位行銷有限公司","新北市板橋區中山路1段10號11樓","陳思翰","50000","1130709"
"52","95428736","創翼科技有限公司","臺北市中正區許昌街42號8樓","陳毅安","1000000","1130719"
"53","95428779","鍾盈興業有限公司","高雄市林園區鳳林路一段34號1樓","顏朝慶","1500000","1130628"
"54","95428855","香港商方上國際有限公司","桃園市桃園區中平路102號13樓之3","阮孝堅","122250","1130731"
"55","95428953","唯光恩雨有限公司","桃園市桃園區復興路159號","張毓茹","1000000","1130731"
"56","95429051","十二成內衣有限公司","屏東縣屏東市大同里永福路50號1樓","林憲章","500000","1130708"
"57","95429138","佳安管理顧問有限公司","新北市板橋區四川路1段23號9樓","陳佳純","100000","1130718"
"58","95429171","君禾科技有限公司","臺中市后里區三豐路四段257號1樓","劉君逸","2000000","1130723"
"59","95429186","禾紳投資有限公司","桃園市楊梅區大平里楊湖路一段365號","許家紳","10000000","1130726"
