"序號","統一編號","公司名稱","公司所在地","代表人","資本額","核准設立日期"
"1","28115340","啟昌生技股份有限公司","新竹市東區力行一路1號1樓(A2-A12-1)","謝昌訓","2000000","1120719"
"2","29188566","臺灣碳權交易所股份有限公司","高雄市前鎮區復興四路1號2樓","林修銘","1000000000","1120721"
"3","76868298","碩力綠能股份有限公司","臺北市信義區忠孝東路5段68號20樓","Kwang Jin Cheong","829490","1120707"
"4","93759154","亞德日有限公司","臺南市安平區建平里建平十一街7號","林士展","1000000","1120712"
"5","93759160","聿見餐飲管理顧問有限公司","臺南市永康區安康里中華西街196巷36號12樓之3","高雅雯","200000","1120713"
"6","93759176","今鶴安平有限公司","臺南市中西區大涼里永華路1段320號","莊逸勤","1000000","1120712"
"7","93759181","政旺工程有限公司","臺南市西港區溪埔寮23之11號2樓","王水明","3000000","1120713"
"8","93759197","廣紘工程有限公司","臺南市新市區永就里永就111之4號1樓","王偉薪","100000","1120713"
"9","93759204","兆進科技有限公司","臺南市安南區頂安里安中路1段220巷5弄2號1樓","蘇信旭","1000000","1120712"
"10","93759210","星光金全球股份有限公司","臺南市中西區赤嵌里中山路193號","黃重淇","1000000","1120713"
"11","93759226","幸家有限公司","臺南市中西區金華路3段230號3樓之1","黃盟文","100000","1120713"
"12","93759231","米克羅企業有限公司","臺南市南區彰南里新平路28號1樓","李懌廷","2000000","1120713"
"13","93759247","予盛生技有限公司","臺南市永康區勝利里勝學路239號13樓之1","鄭依貞","50000","1120713"
"14","93759268","萬諦投資有限公司","臺南市安平區育平里郡平路276之1號2樓","黃敏傑","10000000","1120713"
"15","93759274","世弼企業有限公司","臺南市善化區蓮潭里龍目井路88號2樓之18","王慧屏","1000000","1120713"
"16","93759289","名享國際汽車有限公司","臺南市永康區永康里永大路2段1069號","林志樑","1000000","1120713"
"17","93759295","豐富鮮食有限公司","臺南市中西區藥王里民族路3段201號1樓","吳豐富","1000000","1120713"
"18","93759302","恆電綠能股份有限公司","臺南市永康區成功里中華路144-1號地下1層","周宜靜","1501000","1120713"
"19","93759318","晨暄綠能有限公司","臺南市中西區淺草里民生路2段389號13樓之1","李靖偉","700000","1120714"
"20","93759324","先福園藝有限公司","臺南市新營區中營里新進路37號2樓之1","許瑋軒","2000000","1120717"
"21","93759339","乙升實業有限公司","臺南市仁德區一甲里太乙六街59號","林裕欽","500000","1120714"
"22","93759345","大楹工程有限公司","臺南市永康區中華里忠勇街86號2樓","陳嘉霖","5000000","1120713"
"23","93759350","協和造船股份有限公司","臺南市安平區億載里安億路137號","陳銘綸","18000000","1120713"
"24","93759366","智慧田管理顧問有限公司","臺南市安平區建平里中華西路2段317號6樓","莊語欣","100000","1120713"
"25","93759372","財順工程有限公司","臺南市安南區佃東里十二佃路262號1樓","郭姿伶","100000","1120713"
"26","93759387","石貴工程股份有限公司","臺南市歸仁區高鐵七路63號1樓","薛漢欽","500000","1120713"
