"序號","統一編號","公司名稱","公司所在地","代表人","資本額","核准設立日期"
"1","28115502","千腦資訊股份有限公司","新竹市東區力行一路1號1樓B5-3","何彥勳","600000","1130611"
"2","29188720","星榤有限公司","高雄市前鎮區復興四路10號3樓之9","陳繹文","8800000","1130613"
"3","82970031","健循有限公司","臺南市新市區南科三路17號2樓1A136室","盧韋智","100000","1130607"
"4","95426006","翊凱投資有限公司","新北市新莊區中正路657之12號10樓","陳柏愷","1000000","1130628"
"5","95426081","昌弘貿易有限公司","臺中市西區民權路177巷14號1樓","李宥箴","1000000","1130626"
"6","95426174","正直不動產有限公司","臺中市西區向上路一段275號","楊再錦","500000","1130619"
"7","95426358","艾鈉科技有限公司","臺北市大安區敦化南路1段205號2樓之5","鄭鈞儒","1000000","1130628"
"8","95426370","彗來有限公司","臺北市大同區南京西路163號2樓之54","陳潤緣","1000000","1130619"
"9","95426435","享夢床墊有限公司","新北市土城區青雲路303號","王庭烽","100000","1130619"
"10","95426553","賞味宣言股份有限公司","臺北市中山區長安東路1段56巷1弄17之1號","張心慧","1000000","1130627"
"11","95426603","桓宇國際有限公司","臺北市信義區祥雲街13之1號地下","蔡勝閔","100000","1130607"
"12","95426646","思維安股份有限公司","新竹縣芎林鄉三民路3號","廖美櫻","14339000","1130605"
"13","95426738","頂尖文化傳媒有限公司","臺中市北區立人里華美街二段262號7樓之1","陳思翰","100000","1130617"
"14","95426765","荃富貿易有限公司","臺北市大同區承德路1段32號12樓之5","張蕙如","1000000","1130614"
"15","95426940","運誠投資股份有限公司","高雄市新興區民生一路56號14樓之8","陳翠蘭","15000000","1130618"
"16","95427027","好種子教育顧問有限公司","臺北市士林區天母西路3號6樓之2","王嘉薇","2800000","1130624"
"17","95427032","創造能源有限公司","臺北市大同區延平北路1段104號5樓","Stewart Michael James","100000","1130626"
"18","95427080","信太拆除有限公司","臺北市中正區中華路1段59號9樓","陳宜進","2500000","1130627"
"19","95427103","長映餐飲股份有限公司","臺中市南屯區大誠里東興西街36號7樓之3","劉李耀東","10000000","1130617"
"20","95427146","奇欣數位有限公司","桃園市中壢區普仁里中山東路2段147號","張玄奇","1000000","1130619"
"21","95427265","旭洋玻璃有限公司","新竹市香山區頂埔里牛埔路171號","詹惠如","2800000","1130626"
"22","95427315","承瑄工程有限公司","臺南市東區東寧路429號2樓","黃曼瑄","1000000","1130604"
"23","95427357","謙誠人資顧問有限公司","高雄市仁武區名山三街102號1樓","藍嘉君","500000","1130605"
"24","95427384","建邦工程顧問有限公司","臺北市大同區雙連街11巷13號2樓","張雅程","1000000","1130617"
"25","95427390","銀士貿易有限公司","雲林縣斗六市保庄里保水路35巷48號三樓","陳正芳","500000","1130620"
"26","95427407","星瑋投資股份有限公司","臺南市北區長興里公園北路164號2樓","林寓承","2000000","1130605"
"27","95427413","鴻葳國際有限公司","桃園市桃園區同德六街166號七樓","黃浩彰","1000000","1130611"
"28","95427429","技達興業有限公司","彰化縣伸港鄉新港村新港路6之13號1樓","黃温寬","2000000","1130617"
"29","95427602","桃成自動化有限公司","桃園市楊梅區瑞溪里梅獅路二段32號11樓","邱如慈","1000000","1130604"
"30","95427693","鼎泰畜產開發有限公司","臺南市新市區大社285之88號","李家羽","10000000","1130603"
"31","95427758","永倫車業有限公司","臺北市中山區民權東路2段148號3樓","邱振倫","200000","1130611"
"32","95427808","光嶺股份有限公司","新北市板橋區三民路2段32號3樓","黃傑","1250000","1130607"
"33","95427841","星宇國際餐飲有限公司","高雄市鼓山區文信路251號","黃秀玲","500000","1130618"
"34","95427949","皮爾科技有限公司","新北市永和區永和路1段18巷11弄19號4樓","黎萬銓","1000000","1130611"
"35","95428187","牧康科技股份有限公司","臺南市北區北安路1段176巷8弄13號","蔡坤昇","5000000","1130531"
"36","95428270","晑健體股份有限公司","新北市林口區四維路58號","楊涵翔","10000","1130628"
"37","95428341","寒風科技有限公司","臺南市北區大和里大興街132巷76-3號1樓","許峯銘","1000000","1130620"
"38","95428460","錦利工業有限公司","南投縣南投市新興里成功三路351號","何松霖","25000000","1130620"
"39","95428481","天送有限公司","臺北市中山區南京東路2段76號4樓","黃學瑋","1000000","1130617"
"40","95428525","潤泰資融有限公司","屏東縣屏東市建國里自由路81-4號1樓","張大山","100000","1130604"
